Format=1  Tracks=10  Ticks/quarter=480
  Track 0: Tempo=87 BPM (689655 us/beat)

Tempo at parse time: 87 BPM  (689655 us/quarter)
Ticks per quarter: 480
us per tick: 1436.78
frames per tick (60fps): 0.0862

  beat 96.750  frame 4003.4  G3    vel=80
  beat 97.000  frame 4013.8  A4    vel=80
  beat 97.000  frame 4013.8  G4    vel=80
  beat 97.000  frame 4013.8  D4    vel=80
  beat 97.000  frame 4013.8  G3    vel=80
  beat 97.250  frame 4024.1  A4    vel=80
  beat 97.250  frame 4024.1  G4    vel=80
  beat 97.250  frame 4024.1  C4    vel=80
  beat 97.250  frame 4024.1  G3    vel=80
  beat 97.500  frame 4034.5  G4    vel=80
  beat 97.500  frame 4034.5  C4    vel=80
  beat 97.500  frame 4034.5  G3    vel=80
  beat 97.500  frame 4034.5  D3    vel=80
  beat 97.750  frame 4044.8  A3    vel=80
  beat 97.750  frame 4044.8  F3    vel=80
  beat 98.250  frame 4065.5  A4    vel=80
  beat 98.250  frame 4065.5  G4    vel=80
  beat 98.250  frame 4065.5  C4    vel=80
  beat 98.250  frame 4065.5  A3    vel=80
  beat 98.500  frame 4075.9  C4    vel=80
  beat 98.500  frame 4075.9  A3    vel=80
  beat 98.500  frame 4075.9  F3    vel=80
  beat 99.000  frame 4096.6  A4    vel=80
  beat 99.000  frame 4096.6  G4    vel=80
  beat 99.000  frame 4096.6  C4    vel=80
  beat 99.000  frame 4096.6  A3    vel=80
  beat 99.000  frame 4096.6  F3    vel=80
  beat 99.750  frame 4127.6  A4    vel=80
  beat 99.750  frame 4127.6  G4    vel=80
  beat 99.750  frame 4127.6  C4    vel=80
  beat 99.750  frame 4127.6  A3    vel=80
  beat 100.000  frame 4137.9  G4    vel=80
  beat 100.000  frame 4137.9  C4    vel=80
  beat 100.000  frame 4137.9  G3    vel=80
  beat 100.000  frame 4137.9  D3    vel=80
  beat 100.250  frame 4148.3  A4    vel=80
  beat 100.250  frame 4148.3  G4    vel=80
  beat 100.250  frame 4148.3  D4    vel=80
  beat 100.250  frame 4148.3  G3    vel=80
  beat 100.500  frame 4158.6  A4    vel=80
  beat 100.500  frame 4158.6  G4    vel=80
  beat 100.500  frame 4158.6  D4    vel=80
  beat 100.500  frame 4158.6  G3    vel=80
  beat 100.750  frame 4169.0  A4    vel=80
  beat 100.750  frame 4169.0  G4    vel=80
  beat 100.750  frame 4169.0  C4    vel=80
  beat 100.750  frame 4169.0  G3    vel=80
  beat 101.000  frame 4179.3  A4    vel=80
  beat 101.000  frame 4179.3  G4    vel=80
  beat 101.000  frame 4179.3  D4    vel=80
  beat 101.000  frame 4179.3  G3    vel=80
  beat 101.250  frame 4189.7  A4    vel=80
  beat 101.250  frame 4189.7  E4    vel=80
  beat 101.250  frame 4189.7  C4    vel=80
  beat 101.250  frame 4189.7  G3    vel=80
  beat 101.500  frame 4200.0  C4    vel=80
  beat 101.500  frame 4200.0  G3    vel=80
  beat 101.500  frame 4200.0  D3    vel=80
  beat 101.500  frame 4200.0  A2    vel=80
  beat 101.750  frame 4210.3  A3    vel=80
  beat 101.750  frame 4210.3  E3    vel=80
  beat 102.250  frame 4231.0  A4    vel=80
  beat 102.250  frame 4231.0  E4    vel=80
  beat 102.250  frame 4231.0  C4    vel=80
  beat 102.250  frame 4231.0  A3    vel=80
  beat 102.500  frame 4241.4  A3    vel=80
  beat 102.500  frame 4241.4  E3    vel=80
  beat 102.500  frame 4241.4  A2    vel=80
  beat 103.000  frame 4262.1  A4    vel=80
  beat 103.000  frame 4262.1  E4    vel=80
  beat 103.000  frame 4262.1  C4    vel=80
  beat 103.000  frame 4262.1  A3    vel=80
  beat 103.000  frame 4262.1  E3    vel=80
  beat 103.000  frame 4262.1  A2    vel=80
  beat 103.500  frame 4282.8  E4    vel=80
  beat 103.500  frame 4282.8  C4    vel=80
  beat 103.500  frame 4282.8  A3    vel=80
  beat 103.750  frame 4293.1  A4    vel=80
  beat 103.750  frame 4293.1  E4    vel=80
  beat 103.750  frame 4293.1  C4    vel=80
  beat 103.750  frame 4293.1  A3    vel=80
  beat 104.000  frame 4303.4  E4    vel=80
  beat 104.000  frame 4303.4  C4    vel=80
  beat 104.000  frame 4303.4  G3    vel=80
  beat 104.250  frame 4313.8  A4    vel=80
  beat 104.250  frame 4313.8  G4    vel=80
  beat 104.250  frame 4313.8  D4    vel=80
  beat 104.250  frame 4313.8  G3    vel=80
  beat 104.500  frame 4324.1  A4    vel=80
  beat 104.500  frame 4324.1  G4    vel=80
  beat 104.500  frame 4324.1  D4    vel=80
  beat 104.500  frame 4324.1  G3    vel=80
  beat 104.750  frame 4334.5  A4    vel=80
  beat 104.750  frame 4334.5  G4    vel=80
  beat 104.750  frame 4334.5  C4    vel=80
  beat 104.750  frame 4334.5  G3    vel=80
  beat 105.000  frame 4344.8  A4    vel=80
  beat 105.000  frame 4344.8  G4    vel=80
  beat 105.000  frame 4344.8  D4    vel=80
  beat 105.000  frame 4344.8  G3    vel=80
  beat 105.250  frame 4355.2  A4    vel=80
